Age,Gender,Education Level,Job Title,Years of Experience,Age_Experience,Age_Experience_Ratio,Experience_Squared,Age_Squared,Salary
38.0,Male,PhD,Senior Scientist,11.0,418.0,3.1666666666666665,121.0,1444.0,120000.0
25.0,Male,Bachelor's,Help Desk Analyst,0.0,0.0,25.0,0.0,625.0,35000.0
51.0,Female,Bachelor's,Customer Service Manager,22.0,1122.0,2.217391304347826,484.0,2601.0,130000.0
33.0,Male,Master's,Business Intelligence Analyst,7.0,231.0,4.125,49.0,1089.0,85000.0
40.0,Female,Bachelor's,Event Coordinator,12.0,480.0,3.076923076923077,144.0,1600.0,60000.0
47.0,Male,Master's,VP of Finance,19.0,893.0,2.35,361.0,2209.0,200000.0
29.0,Female,Bachelor's,Graphic Designer,3.0,87.0,7.25,9.0,841.0,50000.0
36.0,Male,Bachelor's,Sales Manager,9.0,324.0,3.6,81.0,1296.0,95000.0
27.0,Female,Master's,UX Researcher,2.0,54.0,9.0,4.0,729.0,65000.0
43.0,Male,PhD,Senior Engineer,17.0,731.0,2.388888888888889,289.0,1849.0,140000.0
30.0,Female,Bachelor's,Social Media Manager,4.0,120.0,6.0,16.0,900.0,55000.0
35.0,Male,Master's,Product Manager,7.0,245.0,4.375,49.0,1225.0,105000.0
51.0,Female,Master's,Director of Operations,23.0,1173.0,2.125,529.0,2601.0,170000.0
29.0,Male,Bachelor's,Marketing Analyst,3.0,87.0,7.25,9.0,841.0,50000.0
40.0,Female,Bachelor's,HR Manager,12.0,480.0,3.076923076923077,144.0,1600.0,80000.0
47.0,Male,PhD,Senior Data Scientist,21.0,987.0,2.136363636363636,441.0,2209.0,180000.0
26.0,Male,Bachelor's,Junior Accountant,1.0,26.0,13.0,1.0,676.0,35000.0
38.0,Female,Master's,Digital Marketing Manager,10.0,380.0,3.4545454545454546,100.0,1444.0,90000.0
46.0,Male,Bachelor's,IT Manager,19.0,874.0,2.3,361.0,2116.0,120000.0
31.0,Female,Bachelor's,Customer Service Representative,5.0,155.0,5.166666666666667,25.0,961.0,45000.0
34.0,Male,Master's,Business Development Manager,8.0,272.0,3.7777777777777777,64.0,1156.0,90000.0
49.0,Female,Master's,Senior Financial Analyst,18.0,882.0,2.5789473684210527,324.0,2401.0,150000.0
33.0,Male,Bachelor's,Web Developer,6.0,198.0,4.714285714285714,36.0,1089.0,65000.0
39.0,Female,Bachelor's,Recruiter,11.0,429.0,3.25,121.0,1521.0,70000.0
45.0,Male,PhD,Research Director,16.0,720.0,2.647058823529412,256.0,2025.0,190000.0
28.0,Male,Bachelor's,Technical Support Specialist,2.0,56.0,9.333333333333334,4.0,784.0,40000.0
42.0,Female,Master's,Creative Director,14.0,588.0,2.8,196.0,1764.0,120000.0
37.0,Male,Bachelor's,Project Manager,10.0,370.0,3.363636363636364,100.0,1369.0,95000.0
50.0,Female,Bachelor's,Operations Manager,22.0,1100.0,2.1739130434782608,484.0,2500.0,160000.0
32.0,Male,Master's,Senior Software Engineer,6.0,192.0,4.571428571428571,36.0,1024.0,100000.0
48.0,Female,Master's,Human Resources Director,20.0,960.0,2.2857142857142856,400.0,2304.0,180000.0
30.0,Female,Bachelor's,Content Marketing Manager,3.0,90.0,7.5,9.0,900.0,55000.0
36.0,Male,Bachelor's,Technical Recruiter,8.0,288.0,4.0,64.0,1296.0,70000.0
41.0,Female,Master's,Data Analyst,13.0,533.0,2.9285714285714284,169.0,1681.0,80000.0
25.0,Male,Bachelor's,Sales Representative,0.0,0.0,25.0,0.0,625.0,30000.0
52.0,Male,PhD,Chief Technology Officer,24.0,1248.0,2.08,576.0,2704.0,250000.0
29.0,Female,Bachelor's,Junior Designer,2.0,58.0,9.666666666666666,4.0,841.0,40000.0
34.0,Female,Master's,Financial Advisor,10.0,340.0,3.090909090909091,100.0,1156.0,95000.0
27.0,Male,Bachelor's,Junior Account Manager,2.0,54.0,9.0,4.0,729.0,45000.0
40.0,Female,Bachelor's,HR Generalist,15.0,600.0,2.5,225.0,1600.0,80000.0
46.0,Male,Master's,Senior Project Manager,21.0,966.0,2.090909090909091,441.0,2116.0,135000.0
31.0,Female,Bachelor's,Marketing Coordinator,6.0,186.0,4.428571428571429,36.0,961.0,55000.0
36.0,Male,PhD,Principal Scientist,11.0,396.0,3.0,121.0,1296.0,120000.0
29.0,Female,Bachelor's,Sales Associate,3.0,87.0,7.25,9.0,841.0,40000.0
43.0,Male,Bachelor's,Supply Chain Manager,18.0,774.0,2.263157894736842,324.0,1849.0,105000.0
52.0,Female,Master's,Senior Marketing Manager,25.0,1300.0,2.0,625.0,2704.0,170000.0
33.0,Male,Bachelor's,Business Analyst,7.0,231.0,4.125,49.0,1089.0,75000.0
39.0,Female,Bachelor's,Training Specialist,12.0,468.0,3.0,144.0,1521.0,65000.0
47.0,Male,PhD,Research Scientist,22.0,1034.0,2.0434782608695654,484.0,2209.0,160000.0
26.0,Male,Bachelor's,Junior Software Developer,1.0,26.0,13.0,1.0,676.0,35000.0
38.0,Female,Master's,Public Relations Manager,10.0,380.0,3.4545454545454546,100.0,1444.0,90000.0
45.0,Male,Bachelor's,Operations Analyst,20.0,900.0,2.142857142857143,400.0,2025.0,110000.0
31.0,Female,Bachelor's,Event Coordinator,5.0,155.0,5.166666666666667,25.0,961.0,45000.0
35.0,Male,Master's,Product Marketing Manager,8.0,280.0,3.888888888888889,64.0,1225.0,95000.0
49.0,Female,Master's,Senior HR Manager,19.0,931.0,2.45,361.0,2401.0,150000.0
33.0,Male,Bachelor's,Junior Web Developer,5.0,165.0,5.5,25.0,1089.0,50000.0
39.0,Female,Master's,Senior Project Coordinator,13.0,507.0,2.7857142857142856,169.0,1521.0,80000.0
44.0,Male,PhD,Chief Data Officer,16.0,704.0,2.588235294117647,256.0,1936.0,220000.0
30.0,Female,Bachelor's,Digital Content Producer,3.0,90.0,7.5,9.0,900.0,50000.0
36.0,Male,Bachelor's,IT Support Specialist,7.0,252.0,4.5,49.0,1296.0,60000.0
41.0,Female,Master's,Senior Marketing Analyst,14.0,574.0,2.7333333333333334,196.0,1681.0,100000.0
28.0,Male,Bachelor's,Customer Success Manager,2.0,56.0,9.333333333333334,4.0,784.0,40000.0
42.0,Female,Master's,Senior Graphic Designer,15.0,630.0,2.625,225.0,1764.0,110000.0
37.0,Male,Bachelor's,Software Project Manager,9.0,333.0,3.7,81.0,1369.0,95000.0
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,1100.0,2.1739130434782608,484.0,2500.0,130000.0
32.0,Male,Master's,Senior Business Analyst,6.0,192.0,4.571428571428571,36.0,1024.0,90000.0
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,11.5,15.333333333333334,0.25,529.0,35000.0
31.0,Male,Master's,Senior Financial Analyst,6.0,186.0,4.428571428571429,36.0,961.0,95000.0
40.0,Female,Bachelor's,Office Manager,15.0,600.0,2.5,225.0,1600.0,65000.0
48.0,Male,PhD,Principal Engineer,20.0,960.0,2.2857142857142856,400.0,2304.0,170000.0
29.0,Female,Bachelor's,Junior HR Generalist,3.0,87.0,7.25,9.0,841.0,45000.0
35.0,Male,Master's,Senior Product Manager,10.0,350.0,3.1818181818181817,100.0,1225.0,120000.0
42.0,Female,Bachelor's,Sales Manager,17.0,714.0,2.333333333333333,289.0,1764.0,100000.0
53.0,Male,Master's,Director of Marketing,25.0,1325.0,2.0384615384615383,625.0,2809.0,180000.0
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,165.0,5.5,25.0,1089.0,50000.0
38.0,Male,Bachelor's,Customer Service Manager,11.0,418.0,3.1666666666666665,121.0,1444.0,80000.0
44.0,Female,PhD,Senior Scientist,16.0,704.0,2.588235294117647,256.0,1936.0,140000.0
26.0,Male,Bachelor's,Junior Accountant,2.0,52.0,8.666666666666666,4.0,676.0,40000.0
37.0,Female,Master's,Senior HR Generalist,9.0,333.0,3.7,81.0,1369.0,95000.0
45.0,Male,Bachelor's,Sales Operations Manager,18.0,810.0,2.3684210526315788,324.0,2025.0,110000.0
32.0,Female,Bachelor's,Marketing Coordinator,4.0,128.0,6.4,16.0,1024.0,50000.0
34.0,Male,Master's,Senior Software Developer,8.0,272.0,3.7777777777777777,64.0,1156.0,105000.0
50.0,Female,Master's,Director of Operations,21.0,1050.0,2.272727272727273,441.0,2500.0,160000.0
29.0,Male,Bachelor's,Junior Web Designer,3.0,87.0,7.25,9.0,841.0,45000.0
40.0,Female,Master's,Senior Training Specialist,12.0,480.0,3.076923076923077,144.0,1600.0,100000.0
47.0,Male,PhD,Senior Research Scientist,22.0,1034.0,2.0434782608695654,484.0,2209.0,160000.0
27.0,Male,Bachelor's,Junior Sales Representative,1.0,27.0,13.5,1.0,729.0,35000.0
39.0,Female,Bachelor's,Administrative Assistant,10.0,390.0,3.5454545454545454,100.0,1521.0,55000.0
46.0,Male,Master's,Senior Project Manager,19.0,874.0,2.3,361.0,2116.0,140000.0
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,120.0,6.0,16.0,900.0,50000.0
36.0,Male,Bachelor's,Junior Data Analyst,7.0,252.0,4.5,49.0,1296.0,60000.0
43.0,Female,Master's,Senior Product Marketing Manager,14.0,602.0,2.8666666666666667,196.0,1849.0,120000.0
28.0,Male,Bachelor's,Junior Business Analyst,2.0,56.0,9.333333333333334,4.0,784.0,40000.0
41.0,Female,Master's,Senior Marketing Manager,13.0,533.0,2.9285714285714284,169.0,1681.0,110000.0
33.0,Male,Bachelor's,Junior Software Developer,5.0,165.0,5.5,25.0,1089.0,50000.0
47.0,Male,Bachelor's,Senior Sales Manager,20.0,940.0,2.238095238095238,400.0,2209.0,135000.0
25.0,Female,Master's,Junior Marketing Specialist,1.5,37.5,10.0,2.25,625.0,40000.0
34.0,Male,Bachelor's,Senior Business Analyst,8.0,272.0,3.7777777777777777,64.0,1156.0,90000.0
42.0,Female,PhD,Senior Data Scientist,16.0,672.0,2.4705882352941178,256.0,1764.0,150000.0
31.0,Male,Bachelor's,Junior Project Manager,4.0,124.0,6.2,16.0,961.0,60000.0
38.0,Female,Bachelor's,Senior Accountant,10.0,380.0,3.4545454545454546,100.0,1444.0,80000.0
45.0,Male,Master's,Director of Sales,19.0,855.0,2.25,361.0,2025.0,175000.0
29.0,Female,Bachelor's,Junior Recruiter,3.0,87.0,7.25,9.0,841.0,45000.0
36.0,Male,Master's,Senior Business Development Manager,11.0,396.0,3.0,121.0,1296.0,120000.0
43.0,Female,PhD,Senior Product Designer,18.0,774.0,2.263157894736842,324.0,1849.0,140000.0
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,52.0,8.666666666666666,4.0,676.0,35000.0
37.0,Female,Master's,Senior Marketing Analyst,9.0,333.0,3.7,81.0,1369.0,95000.0
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,616.0,2.933333333333333,196.0,1936.0,110000.0
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,160.0,5.333333333333333,25.0,1024.0,50000.0
33.0,Male,Master's,Senior Operations Manager,7.0,231.0,4.125,49.0,1089.0,115000.0
51.0,Female,PhD,Director of Human Resources,23.0,1173.0,2.125,529.0,2601.0,185000.0
28.0,Male,Bachelor's,Junior Software Engineer,2.0,56.0,9.333333333333334,4.0,784.0,40000.0
39.0,Female,Bachelor's,Senior Sales Representative,12.0,468.0,3.0,144.0,1521.0,90000.0
48.0,Male,Master's,Director of Product Management,21.0,1008.0,2.1818181818181817,441.0,2304.0,175000.0
30.0,Female,Bachelor's,Junior Copywriter,3.0,90.0,7.5,9.0,900.0,45000.0
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,245.0,4.375,49.0,1225.0,80000.0
41.0,Female,Master's,Senior Human Resources Manager,13.0,533.0,2.9285714285714284,169.0,1681.0,120000.0
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,40.5,10.8,2.25,729.0,35000.0
40.0,Female,Bachelor's,Senior Account Manager,14.0,560.0,2.6666666666666665,196.0,1600.0,110000.0
46.0,Male,PhD,Senior Researcher,18.0,828.0,2.421052631578948,324.0,2116.0,150000.0
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,124.0,6.2,16.0,961.0,50000.0
34.0,Male,Master's,Senior Software Engineer,9.0,306.0,3.4,81.0,1156.0,105000.0
50.0,Female,Master's,Director of Finance,20.0,1000.0,2.380952380952381,400.0,2500.0,180000.0
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,58.0,9.666666666666666,4.0,841.0,40000.0
43.0,Male,Bachelor's,Senior Project Manager,16.0,688.0,2.5294117647058822,256.0,1849.0,140000.0
26.0,Female,Master's,Junior Data Scientist,1.5,39.0,10.4,2.25,676.0,45000.0
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,245.0,4.375,49.0,1225.0,85000.0
42.0,Female,PhD,Senior Marketing Manager,18.0,756.0,2.210526315789474,324.0,1764.0,140000.0
31.0,Male,Bachelor's,Junior Accountant,4.0,124.0,6.2,16.0,961.0,50000.0
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,380.0,3.4545454545454546,100.0,1444.0,80000.0
46.0,Male,Master's,Director of Operations,20.0,920.0,2.1904761904761907,400.0,2116.0,170000.0
29.0,Female,Bachelor's,Junior Sales Representative,2.0,58.0,9.666666666666666,4.0,841.0,40000.0
37.0,Male,Master's,Senior Business Analyst,9.0,333.0,3.7,81.0,1369.0,105000.0
44.0,Female,PhD,Senior UX Designer,15.0,660.0,2.75,225.0,1936.0,145000.0
27.0,Male,Bachelor's,Junior Product Manager,2.0,54.0,9.0,4.0,729.0,40000.0
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,288.0,4.0,64.0,1296.0,85000.0
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,602.0,2.8666666666666667,196.0,1849.0,130000.0
33.0,Female,Master's,Senior Financial Analyst,6.0,198.0,4.714285714285714,36.0,1089.0,95000.0
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,306.0,3.4,81.0,1156.0,100000.0
50.0,Female,PhD,Director of Sales and Marketing,22.0,1100.0,2.1739130434782608,484.0,2500.0,180000.0
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,42.0,11.2,2.25,784.0,35000.0
39.0,Female,Bachelor's,Senior Account Executive,12.0,468.0,3.0,144.0,1521.0,95000.0
47.0,Male,Master's,Director of Business Development,19.0,893.0,2.35,361.0,2209.0,170000.0
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,90.0,7.5,9.0,900.0,45000.0
34.0,Male,Bachelor's,Senior Product Manager,7.0,238.0,4.25,49.0,1156.0,95000.0
40.0,Female,Master's,Senior Human Resources Specialist,13.0,520.0,2.857142857142857,169.0,1600.0,120000.0
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,451.0,3.4166666666666665,121.0,1681.0,90000.0
45.0,Male,PhD,Senior Data Analyst,17.0,765.0,2.5,289.0,2025.0,155000.0
32.0,Female,Bachelor's,Junior Account Manager,5.0,160.0,5.333333333333333,25.0,1024.0,55000.0
35.0,Male,Master's,Senior Software Developer,9.0,315.0,3.5,81.0,1225.0,110000.0
49.0,Female,Master's,Director of Human Capital,21.0,1029.0,2.227272727272727,441.0,2401.0,180000.0
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,90.0,7.5,9.0,900.0,45000.0
44.0,Male,Bachelor's,Senior Sales Manager,16.0,704.0,2.588235294117647,256.0,1936.0,130000.0
27.0,Female,Master's,Junior UX Designer,1.5,40.5,10.8,2.25,729.0,45000.0
36.0,Male,Bachelor's,Senior Accountant,7.0,252.0,4.5,49.0,1296.0,90000.0
41.0,Female,PhD,Senior Marketing Director,17.0,697.0,2.2777777777777777,289.0,1681.0,160000.0
31.0,Male,Bachelor's,Junior HR Generalist,4.0,124.0,6.2,16.0,961.0,50000.0
39.0,Female,Bachelor's,Senior Operations Manager,10.0,390.0,3.5454545454545454,100.0,1521.0,120000.0
47.0,Male,Master's,Director of Finance,20.0,940.0,2.238095238095238,400.0,2209.0,170000.0
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,60.0,10.0,4.0,900.0,40000.0
38.0,Male,Master's,Senior IT Consultant,9.0,342.0,3.8,81.0,1444.0,110000.0
45.0,Female,PhD,Senior Product Designer,15.0,675.0,2.8125,225.0,2025.0,150000.0
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,56.0,9.333333333333334,4.0,784.0,40000.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,280.0,3.888888888888889,64.0,1225.0,85000.0
44.0,Male,Bachelor's,Senior Software Engineer,14.0,616.0,2.933333333333333,196.0,1936.0,130000.0
34.0,Female,Master's,Senior Financial Advisor,6.0,204.0,4.857142857142857,36.0,1156.0,100000.0
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,315.0,3.5,81.0,1225.0,95000.0
50.0,Female,PhD,Director of Operations,22.0,1100.0,2.1739130434782608,484.0,2500.0,180000.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,43.5,11.6,2.25,841.0,35000.0
40.0,Female,Bachelor's,Senior Sales Representative,12.0,480.0,3.076923076923077,144.0,1600.0,100000.0
48.0,Male,Master's,Director of Marketing,19.0,912.0,2.4,361.0,2304.0,170000.0
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,93.0,7.75,9.0,961.0,45000.0
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,231.0,4.125,49.0,1089.0,100000.0
42.0,Female,Master's,Senior Human Resources Manager,13.0,546.0,3.0,169.0,1764.0,140000.0
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,56.0,9.333333333333334,4.0,784.0,40000.0
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,440.0,3.333333333333333,121.0,1600.0,105000.0
46.0,Male,PhD,Senior Data Scientist,18.0,828.0,2.421052631578948,324.0,2116.0,160000.0
33.0,Female,Bachelor's,Junior Operations Manager,5.0,165.0,5.5,25.0,1089.0,70000.0
37.0,Male,Master's,Senior Software Architect,9.0,333.0,3.7,81.0,1369.0,120000.0
51.0,Female,Master's,Director of Human Resources,21.0,1071.0,2.3181818181818183,441.0,2601.0,190000.0
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,90.0,7.5,9.0,900.0,45000.0
43.0,Male,Bachelor's,Senior Project Manager,15.0,645.0,2.6875,225.0,1849.0,120000.0
27.0,Female,Master's,Junior Research Scientist,1.5,40.5,10.8,2.25,729.0,50000.0
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,280.0,3.888888888888889,64.0,1225.0,85000.0
42.0,Female,PhD,Senior Marketing Manager,13.0,546.0,3.0,169.0,1764.0,140000.0
32.0,Male,Bachelor's,Junior Sales Representative,3.0,96.0,8.0,9.0,1024.0,45000.0
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,333.0,3.7,81.0,1369.0,100000.0
45.0,Male,Master's,Senior Software Developer,16.0,720.0,2.647058823529412,256.0,2025.0,140000.0
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,165.0,5.5,25.0,1089.0,70000.0
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,390.0,3.5454545454545454,100.0,1521.0,120000.0
44.0,Female,PhD,Senior HR Manager,18.0,792.0,2.3157894736842106,324.0,1936.0,160000.0
29.0,Male,Bachelor's,Junior Business Analyst,1.5,43.5,11.6,2.25,841.0,40000.0
38.0,Female,Bachelor's,Senior Product Manager,10.0,380.0,3.4545454545454546,100.0,1444.0,120000.0
46.0,Male,PhD,Senior Data Analyst,19.0,874.0,2.3,361.0,2116.0,150000.0
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,204.0,4.857142857142857,36.0,1156.0,70000.0
36.0,Male,Bachelor's,Senior Operations Manager,8.0,288.0,4.0,64.0,1296.0,95000.0
49.0,Female,Master's,Director of Marketing,21.0,1029.0,2.227272727272727,441.0,2401.0,180000.0
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,93.0,7.75,9.0,961.0,50000.0
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,451.0,3.4166666666666665,121.0,1681.0,95000.0
47.0,Male,Master's,Director of Operations,20.0,940.0,2.238095238095238,400.0,2209.0,170000.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,43.5,11.6,2.25,841.0,350.0
37.0,Female,Bachelor's,Senior Financial Manager,10.0,370.0,3.363636363636364,100.0,1369.0,120000.0
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,93.0,7.75,9.0,961.0,50000.0
42.0,Male,Bachelor's,Senior Operations Manager,12.0,504.0,3.230769230769231,144.0,1764.0,110000.0
29.0,Female,Bachelor's,Junior Sales Representative,1.5,43.5,11.6,2.25,841.0,40000.0
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,288.0,4.0,64.0,1296.0,95000.0
44.0,Female,Master's,Senior HR Specialist,15.0,660.0,2.75,225.0,1936.0,140000.0
33.0,Male,Bachelor's,Junior Operations Manager,4.0,132.0,6.6,16.0,1089.0,60000.0
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,351.0,3.9,81.0,1521.0,110000.0
45.0,Male,PhD,Senior Data Engineer,16.0,720.0,2.647058823529412,256.0,2025.0,150000.0
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,128.0,6.4,16.0,1024.0,60000.0
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,296.0,4.111111111111111,64.0,1369.0,90000.0
47.0,Female,Master's,Director of Marketing,20.0,940.0,2.238095238095238,400.0,2209.0,180000.0
30.0,Male,Bachelor's,Junior Business Analyst,2.0,60.0,10.0,4.0,900.0,40000.0
38.0,Female,Bachelor's,Senior Project Manager,9.0,342.0,3.8,81.0,1444.0,120000.0
46.0,Male,PhD,Senior Data Analyst,17.0,782.0,2.555555555555556,289.0,2116.0,160000.0
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,170.0,5.666666666666667,25.0,1156.0,70000.0
36.0,Male,Bachelor's,Senior Product Manager,8.0,288.0,4.0,64.0,1296.0,95000.0
49.0,Female,Master's,Director of Operations,21.0,1029.0,2.227272727272727,441.0,2401.0,180000.0
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,93.0,7.75,9.0,961.0,50000.0
47.0,Male,Master's,Director of Marketing,19.0,893.0,2.35,361.0,2209.0,170000.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,43.5,11.6,2.25,841.0,35000.0
35.0,Male,Bachelor's,Senior Financial Manager,9.0,315.0,3.5,81.0,1225.0,100000.0
44.0,Female,PhD,Senior Product Designer,15.0,660.0,2.75,225.0,1936.0,150000.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0,132.0,6.6,16.0,1089.0,60000.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0,572.0,3.142857142857143,169.0,1936.0,130000.0
32.0,Male,Bachelor's,Junior Product Manager,4.0,128.0,6.4,16.0,1024.0,65000.0
38.0,Female,Bachelor's,Senior Business Analyst,10.0,380.0,3.4545454545454546,100.0,1444.0,110000.0
49.0,Male,PhD,Director of Operations,21.0,1029.0,2.227272727272727,441.0,2401.0,180000.0
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,58.0,9.666666666666666,4.0,841.0,40000.0
